Year,Country / territory of asylum/residence,Origin,Population type,Value
2001,Belgium,Syrian Arab Rep.,Refugees (incl. refugee-like situations),47
2001,Benin,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),58
2001,Bosnia and Herzegovina,Syrian Arab Rep.,Asylum-seekers,2
2001,Belarus,Syrian Arab Rep.,Asylum-seekers,3
2001,Brazil,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2001,Canada,Syrian Arab Rep.,Asylum-seekers,134
2001,Canada,Syrian Arab Rep.,Refugees (incl. refugee-like situations),427
2001,Switzerland,Syrian Arab Rep.,Asylum-seekers,185
2001,Switzerland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),157
2001,Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2001,Cyprus,Syrian Arab Rep.,Asylum-seekers,26
2001,Cyprus,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2001,Czech Rep.,Syrian Arab Rep.,Asylum-seekers,16
2001,Czech Rep.,Syrian Arab Rep.,Refugees (incl. refugee-like situations),7
2001,Germany,Syrian Arab Rep.,Asylum-seekers,1152
2001,Denmark,Syrian Arab Rep.,Asylum-seekers,68
2001,Denmark,Syrian Arab Rep.,Refugees (incl. refugee-like situations),169
2001,Algeria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),8
2001,Ecuador,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2001,Egypt,Syrian Arab Rep.,Asylum-seekers,8
2001,Egypt,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2001,Spain,Syrian Arab Rep.,Refugees (incl. refugee-like situations),20
2001,Estonia,Syrian Arab Rep.,Asylum-seekers,4
2001,Finland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),32
2001,France,Syrian Arab Rep.,Refugees (incl. refugee-like situations),192
2001,Greece,Syrian Arab Rep.,Asylum-seekers,4
2001,Greece,Syrian Arab Rep.,Refugees (incl. refugee-like situations),41
2001,Hungary,Syrian Arab Rep.,Asylum-seekers,1
2001,Hungary,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2001,Indonesia,Syrian Arab Rep.,Asylum-seekers,1
2001,Ireland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2001,Iraq,Syrian Arab Rep.,Asylum-seekers,11
2001,Iraq,Syrian Arab Rep.,Refugees (incl. refugee-like situations),101
2001,Iceland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2001,Israel,Syrian Arab Rep.,Asylum-seekers,3
2001,Italy,Syrian Arab Rep.,Refugees (incl. refugee-like situations),22
2001,Jordan,Syrian Arab Rep.,Asylum-seekers,160
2001,Jordan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2001,Kazakhstan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2001,Morocco,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2001,Rep. of Moldova,Syrian Arab Rep.,Asylum-seekers,1
2001,Malta,Syrian Arab Rep.,Asylum-seekers,1
2001,Malta,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2001,Netherlands,Syrian Arab Rep.,Asylum-seekers,1764
2001,Netherlands,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1518
2001,Norway,Syrian Arab Rep.,Refugees (incl. refugee-like situations),105
2001,New Zealand,Syrian Arab Rep.,Refugees (incl. refugee-like situations),42
2001,Oman,Syrian Arab Rep.,Asylum-seekers,1
2001,Pakistan,Syrian Arab Rep.,Asylum-seekers,1
2001,Peru,Syrian Arab Rep.,Asylum-seekers,1
2001,Peru,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2001,Poland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2001,Qatar,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2001,Romania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2001,Saudi Arabia,Syrian Arab Rep.,Asylum-seekers,13
2001,Saudi Arabia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2001,Sudan,Syrian Arab Rep.,Asylum-seekers,1
2001,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,Asylum-seekers,1
2001,Slovakia,Syrian Arab Rep.,Asylum-seekers,7
2001,Slovakia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2001,Sweden,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1268
2001,Tunisia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2001,Turkey,Syrian Arab Rep.,Asylum-seekers,2
2001,Turkey,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2001,Ukraine,Syrian Arab Rep.,Asylum-seekers,8
2001,Ukraine,Syrian Arab Rep.,Refugees (incl. refugee-like situations),44
2001,United States of America,Syrian Arab Rep.,Asylum-seekers,182
2001,United States of America,Syrian Arab Rep.,Refugees (incl. refugee-like situations),297
2001,Uzbekistan,Syrian Arab Rep.,Asylum-seekers,1
2001,Yemen,Syrian Arab Rep.,Refugees (incl. refugee-like situations),13
2001,South Africa,Syrian Arab Rep.,Asylum-seekers,1
2002,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,60
2002,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),18
2002,Australia,Syrian Arab Rep.,Asylum-seekers,20
2002,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),72
2002,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),61
2002,Azerbaijan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2002,Belgium,Syrian Arab Rep.,Refugees (incl. refugee-like situations),31
2002,Benin,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),61
2002,Bosnia and Herzegovina,Syrian Arab Rep.,Asylum-seekers,1
2002,Belarus,Syrian Arab Rep.,Asylum-seekers,2
2002,Brazil,Syrian Arab Rep.,Asylum-seekers,1
2002,Brazil,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2002,Canada,Syrian Arab Rep.,Asylum-seekers,142
2002,Canada,Syrian Arab Rep.,Refugees (incl. refugee-like situations),432
2002,Switzerland,Syrian Arab Rep.,Asylum-seekers,254
2002,Switzerland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),180
2002,Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2002,Cyprus,Syrian Arab Rep.,Asylum-seekers,20
2002,Cyprus,Syrian Arab Rep.,Refugees (incl. refugee-like situations),7
2002,Czech Rep.,Syrian Arab Rep.,Asylum-seekers,7
2002,Czech Rep.,Syrian Arab Rep.,Refugees (incl. refugee-like situations),10
2002,Germany,Syrian Arab Rep.,Asylum-seekers,1279
2002,Germany,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14398
2002,Denmark,Syrian Arab Rep.,Asylum-seekers,49
2002,Denmark,Syrian Arab Rep.,Refugees (incl. refugee-like situations),180
2002,Algeria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2002,Egypt,Syrian Arab Rep.,Asylum-seekers,9
2002,Egypt,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2002,Spain,Syrian Arab Rep.,Refugees (incl. refugee-like situations),20
2002,Finland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),25
2002,France,Syrian Arab Rep.,Refugees (incl. refugee-like situations),207
2002,Greece,Syrian Arab Rep.,Asylum-seekers,4
2002,Greece,Syrian Arab Rep.,Refugees (incl. refugee-like situations),55
2002,Hungary,Syrian Arab Rep.,Asylum-seekers,10
2002,Hungary,Syrian Arab Rep.,Refugees (incl. refugee-like situations),10
2002,Indonesia,Syrian Arab Rep.,Asylum-seekers,1
2002,Indonesia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2002,Ireland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),13
2002,Iraq,Syrian Arab Rep.,Asylum-seekers,6
2002,Iraq,Syrian Arab Rep.,Refugees (incl. refugee-like situations),100
2002,Iceland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2002,Israel,Syrian Arab Rep.,Asylum-seekers,1
2002,Italy,Syrian Arab Rep.,Refugees (incl. refugee-like situations),36
2002,Jordan,Syrian Arab Rep.,Asylum-seekers,65
2002,Jordan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2002,Kyrgyzstan,Syrian Arab Rep.,Asylum-seekers,1
2002,Morocco,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2002,Rep. of Moldova,Syrian Arab Rep.,Asylum-seekers,3
2002,Mexico,Syrian Arab Rep.,Asylum-seekers,1
2002,Malta,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2002,Netherlands,Syrian Arab Rep.,Asylum-seekers,1256
2002,Netherlands,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1454
2002,Norway,Syrian Arab Rep.,Refugees (incl. refugee-like situations),107
2002,New Zealand,Syrian Arab Rep.,Refugees (incl. refugee-like situations),35
2002,Oman,Syrian Arab Rep.,Asylum-seekers,1
2002,Pakistan,Syrian Arab Rep.,Asylum-seekers,1
2002,Peru,Syrian Arab Rep.,Asylum-seekers,2
2002,Peru,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2002,Poland,Syrian Arab Rep.,Asylum-seekers,1
2002,Poland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2002,Romania,Syrian Arab Rep.,Asylum-seekers,3
2002,Romania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2002,Saudi Arabia,Syrian Arab Rep.,Asylum-seekers,1
2002,Sudan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2002,Slovakia,Syrian Arab Rep.,Asylum-seekers,5
2002,Sweden,Syrian Arab Rep.,Asylum-seekers,871
2002,Sweden,Syrian Arab Rep.,Refugees (incl. refugee-like situations),970
2002,Tunisia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2002,Turkey,Syrian Arab Rep.,Asylum-seekers,5
2002,Turkey,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2002,Ukraine,Syrian Arab Rep.,Refugees (incl. refugee-like situations),45
2002,United States of America,Syrian Arab Rep.,Asylum-seekers,190
2002,United States of America,Syrian Arab Rep.,Refugees (incl. refugee-like situations),291
2002,Uzbekistan,Syrian Arab Rep.,Asylum-seekers,2
2002,Yemen,Syrian Arab Rep.,Asylum-seekers,1
2002,Yemen,Syrian Arab Rep.,Refugees (incl. refugee-like situations),13
2003,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,27
2003,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),18
2003,Armenia,Syrian Arab Rep.,Asylum-seekers,3
2003,Australia,Syrian Arab Rep.,Asylum-seekers,19
2003,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),71
2003,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),61
2003,Azerbaijan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Belgium,Syrian Arab Rep.,Asylum-seekers,170
2003,Belgium,Syrian Arab Rep.,Refugees (incl. refugee-like situations),19
2003,Benin,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),65
2003,Bosnia and Herzegovina,Syrian Arab Rep.,Asylum-seekers,1
2003,Bosnia and Herzegovina,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Belarus,Syrian Arab Rep.,Asylum-seekers,2
2003,Brazil,Syrian Arab Rep.,Asylum-seekers,2
2003,Brazil,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2003,Canada,Syrian Arab Rep.,Asylum-seekers,162
2003,Canada,Syrian Arab Rep.,Refugees (incl. refugee-like situations),424
2003,Switzerland,Syrian Arab Rep.,Asylum-seekers,135
2003,Switzerland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),178
2003,Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2003,Cyprus,Syrian Arab Rep.,Asylum-seekers,44
2003,Cyprus,Syrian Arab Rep.,Refugees (incl. refugee-like situations),13
2003,Czech Rep.,Syrian Arab Rep.,Asylum-seekers,3
2003,Czech Rep.,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14
2003,Germany,Syrian Arab Rep.,Asylum-seekers,703
2003,Germany,Syrian Arab Rep.,Refugees (incl. refugee-like situations),15745
2003,Denmark,Syrian Arab Rep.,Asylum-seekers,28
2003,Denmark,Syrian Arab Rep.,Refugees (incl. refugee-like situations),172
2003,Algeria,Syrian Arab Rep.,Asylum-seekers,1
2003,Algeria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2003,Ecuador,Syrian Arab Rep.,Asylum-seekers,1
2003,Egypt,Syrian Arab Rep.,Asylum-seekers,12
2003,Egypt,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2003,Spain,Syrian Arab Rep.,Refugees (incl. refugee-like situations),15
2003,Finland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),34
2003,France,Syrian Arab Rep.,Refugees (incl. refugee-like situations),191
2003,United Kingdom,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2003,Greece,Syrian Arab Rep.,Asylum-seekers,12
2003,Greece,Syrian Arab Rep.,Refugees (incl. refugee-like situations),55
2003,Hungary,Syrian Arab Rep.,Asylum-seekers,12
2003,Hungary,Syrian Arab Rep.,Refugees (incl. refugee-like situations),17
2003,Indonesia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Ireland,Syrian Arab Rep.,Asylum-seekers,16
2003,Ireland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),15
2003,Iraq,Syrian Arab Rep.,Asylum-seekers,6
2003,Iraq,Syrian Arab Rep.,Refugees (incl. refugee-like situations),643
2003,Iceland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Italy,Syrian Arab Rep.,Refugees (incl. refugee-like situations),35
2003,Jordan,Syrian Arab Rep.,Asylum-seekers,68
2003,Jordan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),28
2003,Kyrgyzstan,Syrian Arab Rep.,Asylum-seekers,18
2003,Morocco,Syrian Arab Rep.,Asylum-seekers,1
2003,Morocco,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2003,Rep. of Moldova,Syrian Arab Rep.,Asylum-seekers,12
2003,Mexico,Syrian Arab Rep.,Asylum-seekers,1
2003,Malta,Syrian Arab Rep.,Refugees (incl. refugee-like situations),7
2003,Malaysia,Syrian Arab Rep.,Asylum-seekers,1
2003,Netherlands,Syrian Arab Rep.,Asylum-seekers,840
2003,Netherlands,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1479
2003,Norway,Syrian Arab Rep.,Refugees (incl. refugee-like situations),93
2003,New Zealand,Syrian Arab Rep.,Asylum-seekers,4
2003,New Zealand,Syrian Arab Rep.,Refugees (incl. refugee-like situations),39
2003,Oman,Syrian Arab Rep.,Asylum-seekers,1
2003,Pakistan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),7
2003,Peru,Syrian Arab Rep.,Asylum-seekers,2
2003,Peru,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Poland,Syrian Arab Rep.,Asylum-seekers,3
2003,Poland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16
2003,Qatar,Syrian Arab Rep.,Asylum-seekers,1
2003,Romania,Syrian Arab Rep.,Asylum-seekers,4
2003,Romania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),21
2003,Saudi Arabia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Sudan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2003,Slovakia,Syrian Arab Rep.,Asylum-seekers,43
2003,Sweden,Syrian Arab Rep.,Asylum-seekers,886
2003,Sweden,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1048
2003,Tunisia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2003,Turkey,Syrian Arab Rep.,Asylum-seekers,5
2003,Turkey,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2003,Ukraine,Syrian Arab Rep.,Asylum-seekers,24
2003,Ukraine,Syrian Arab Rep.,Refugees (incl. refugee-like situations),42
2003,United States of America,Syrian Arab Rep.,Asylum-seekers,211
2003,United States of America,Syrian Arab Rep.,Refugees (incl. refugee-like situations),182
2003,Uzbekistan,Syrian Arab Rep.,Asylum-seekers,1
2003,Yemen,Syrian Arab Rep.,Asylum-seekers,67
2003,Yemen,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14
2004,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,25
2004,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),34
2004,Australia,Syrian Arab Rep.,Asylum-seekers,2
2004,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),103
2004,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),75
2004,Azerbaijan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2004,Belgium,Syrian Arab Rep.,Asylum-seekers,253
2004,Belgium,Syrian Arab Rep.,Refugees (incl. refugee-like situations),80
2004,Benin,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2004,Bulgaria,Syrian Arab Rep.,Asylum-seekers,2
2004,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),72
2004,Bosnia and Herzegovina,Syrian Arab Rep.,Asylum-seekers,1
2004,Bosnia and Herzegovina,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2004,Belarus,Syrian Arab Rep.,Asylum-seekers,3
2004,Brazil,Syrian Arab Rep.,Asylum-seekers,1
2004,Brazil,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2004,Canada,Syrian Arab Rep.,Asylum-seekers,95
2004,Canada,Syrian Arab Rep.,Refugees (incl. refugee-like situations),459
2004,Switzerland,Syrian Arab Rep.,Asylum-seekers,106
2004,Switzerland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),179
2004,Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2004,Cyprus,Syrian Arab Rep.,Asylum-seekers,532
2004,Cyprus,Syrian Arab Rep.,Refugees (incl. refugee-like situations),26
2004,Czech Rep.,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14
2004,Germany,Syrian Arab Rep.,Asylum-seekers,475
2004,Germany,Syrian Arab Rep.,Refugees (incl. refugee-like situations),16184
2004,Denmark,Syrian Arab Rep.,Asylum-seekers,18
2004,Denmark,Syrian Arab Rep.,Refugees (incl. refugee-like situations),177
2004,Algeria,Syrian Arab Rep.,Asylum-seekers,1
2004,Algeria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2004,Ecuador,Syrian Arab Rep.,Asylum-seekers,2
2004,Egypt,Syrian Arab Rep.,Asylum-seekers,3
2004,Egypt,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2004,Spain,Syrian Arab Rep.,Refugees (incl. refugee-like situations),21
2004,Finland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),40
2004,France,Syrian Arab Rep.,Refugees (incl. refugee-like situations),205
2004,United Kingdom,Syrian Arab Rep.,Refugees (incl. refugee-like situations),44
2004,Greece,Syrian Arab Rep.,Asylum-seekers,28
2004,Greece,Syrian Arab Rep.,Refugees (incl. refugee-like situations),50
2004,Hungary,Syrian Arab Rep.,Asylum-seekers,4
2004,Hungary,Syrian Arab Rep.,Refugees (incl. refugee-like situations),29
2004,Indonesia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2004,Ireland,Syrian Arab Rep.,Asylum-seekers,18
2004,Ireland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),21
2004,Iraq,Syrian Arab Rep.,Asylum-seekers,602
2004,Iraq,Syrian Arab Rep.,Refugees (incl. refugee-like situations),489
2004,Iceland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2004,Israel,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2004,Italy,Syrian Arab Rep.,Refugees (incl. refugee-like situations),41
2004,Jordan,Syrian Arab Rep.,Asylum-seekers,77
2004,Jordan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),37
2004,Kyrgyzstan,Syrian Arab Rep.,Asylum-seekers,2
2004,Kyrgyzstan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2004,Kuwait,Syrian Arab Rep.,Asylum-seekers,4
2004,Morocco,Syrian Arab Rep.,Asylum-seekers,1
2004,Morocco,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2004,Rep. of Moldova,Syrian Arab Rep.,Asylum-seekers,17
2004,Malta,Syrian Arab Rep.,Asylum-seekers,2
2004,Malta,Syrian Arab Rep.,Refugees (incl. refugee-like situations),10
2004,Malaysia,Syrian Arab Rep.,Asylum-seekers,2
2004,Netherlands,Syrian Arab Rep.,Asylum-seekers,549
2004,Netherlands,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1588
2004,Norway,Syrian Arab Rep.,Refugees (incl. refugee-like situations),132
2004,New Zealand,Syrian Arab Rep.,Asylum-seekers,16
2004,New Zealand,Syrian Arab Rep.,Refugees (incl. refugee-like situations),49
2004,Oman,Syrian Arab Rep.,Asylum-seekers,1
2004,Pakistan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),8
2004,Peru,Syrian Arab Rep.,Asylum-seekers,2
2004,Poland,Syrian Arab Rep.,Asylum-seekers,5
2004,Poland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2004,Qatar,Syrian Arab Rep.,Asylum-seekers,3
2004,Romania,Syrian Arab Rep.,Asylum-seekers,5
2004,Romania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),21
2004,Saudi Arabia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
